UKcompanynumber
00094531
00445790
00518685
00571546
00677665
00820771
00943935
01073356
01148594
01238274
01245534
01288342
01312454
01393773
01503908
01743099
01887016
01926883
02081330
02127833
02192915
02285049
02372738
02379479
02692297
02710846
02755304
02768550
02802585
02843595
02888440
02889550
03085018
03144016
03183931
03223028
03244285
03247942
03264646
03271033
03296375
03298691
03319324
03387654
03412339
03485430
03487186
03504416
03633198
03680030
03699262
03778498
03786457
03793785
03826797
03847379
03856988
03866041
03878083
03890740
03897010
03931726
03936467
03945937
03958483
03977902
03982889
03987067
03995683
03998680
04006623
04091535
04235243
04264634
04294244
04351490
04544799
04563967
04569646
04575510
04697004
04701221
04723983
04800880
04810995
04852559
04917291
05027696
05113615
05118974
05133759
05146461
05150664
05156356
05158056
05197592
05244802
05248454
05328982
05331312
05557026
05581537
05584173
05647737
05656761
05658020
05712175
05724296
05725574
05725823
05753174
05777893
05785839
05798215
05821446
05822339
05885234
05912761
05916375
05976886
06077952
06080277
06151011
06259559
06263821
06265278
06298825
06306298
06357985
06368740
06419015
06428260
06436047
06440931
06458599
06510477
06528765
06542015
06567759
06568048
06583455
06630234
06636109
06636463
06666607
06690044
06714443
06745704
06759291
06762006
06762703
06794483
06800865
06915357
06946606
06948959
06951952
06975940
06979284
06983014
06994989
06999618
07000533
07016688
07024145
07043189
07075792
07088037
07116058
07118347
07126880
07133675
07149780
07196638
07236786
07239092
07256099
07262036
07296537
07301894
07343209
07345627
07444723
07505343
07524391
07541059
07587834
07589848
07619797
07629373
07688919
07692995
07702365
07750091
07756654
07770247
07838003
07847799
07851914
07855508
07872678
07899385
07906283
07940506
07941015
07951518
08015198
08021764
08052156
08114613
08160507
08163131
08213115
08229538
08239058
08247457
08302817
08317411
08331415
08341632
08384033
08386400
08397038
08401945
08405964
08407866
08408608
08466187
08481503
08616210
08622563
08630298
08635057
08637230
08637310
08641682
08642156
08644182
08647112
08650665
08655161
08767711
08773413
08781104
08812630
08825531
08865619
08873131
08934268
08989691
09014101
09107370
09122131
09147957
09172118
09346879
IP032171
OC300001
OC301540
OC303525
OC303675
OC349012
OC378473
OC381725
OC382974
SC101089
SC177156
SC319767
SC337356
SC354544
00025185
00040946
00045810
00215695
00580128
00741598
00954730
01029239
01262354
01300565
01324965
01782505
02032711
02194957
02312426
02366682
02415211
02487644
02533469
02591237
02853022
02861787
03049649
03083575
03134834
03138064
03157344
03184898
03189410
03193399
03230513
03263498
03476201
03532722
03548462
03584121
03871969
03905583
03963007
03967214
04047321
04199651
04224736
04290447
04332105
04429260
04473521
04485831
04496565
04563293
04572417
04736639
04873295
04886072
04962733
05032066
05070887
05110197
05411976
05540382
05756723
05783558
05802543
05824642
05887661
05947941
05987111
06021111
06262589
06278285
06279941
06297514
06312190
06312735
06345791
06472420
06480524
06578379
06617607
06642193
06690696
06758215
06857111
06858550
06968588
06978849
07037795
07045667
07049166
07088009
07093686
07115545
07117843
07146925
07158006
07163429
07165965
07180330
07252691
07343813
07417196
07450843
07459713
07462174
07474165
07504062
07514847
07520030
07535374
07550374
07570195
07647791
07706036
07718100
07774385
07780310
07783818
07826977
07844119
07865458
07869341
07878104
07943525
07967865
07969821
07988193
08025667
08054876
08087585
08117427
08117915
08149394
08230187
08237432
08244058
08306166
08336833
08363264
08398001
08460806
08462148
08464329
08494054
08514228
08531678
08585251
08676757
08704044
08722559
08774979
08808447
08822815
08932125
08949638
08996603
09091899
09131843
09214392
09511651
122369C
IP032340
IP29996R
NI019370
NI032276
NI062615
NI071182
NI071966
NI619151
OC304378
OC338303
OC376463
OC378472
RC000057
RC000346
RC000529
RC000555
RC000707
RC000708
RC000740
RC000800
RC000817
SC163518
SC368153
SC373366
SC384124
SC428873
SC497565
